model_id	author	last_modified	downloads	likes	tags	model_type	library_name	pipeline_tag	description	Hugging Face Link	Study Name	Abbreviation	Search Term
davidschulte/ESM_tasksource__mmlu_human_aging			446	0	safetensors, embedding_space_map, BaseLM:bert-base-multilingual-uncased, dataset:tasksource/mmlu, base_model:google-bert/bert-base-multilingual-uncased, base_model:finetune:google-bert/bert-base-multilingual-uncased, license:apache-2.0, region:us					https://huggingface.co/davidschulte/ESM_tasksource__mmlu_human_aging	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
surya-narayanan/human_aging-gpt2			75	0	transformers, safetensors, gpt2, text-generation, arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/surya-narayanan/human_aging-gpt2	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
liamliang/demographics_gender			65	1	transformers, pytorch, jax, bert, text-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/liamliang/demographics_gender	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
KBhandari11/vicuna_channel_3_human_aging_Community			61	1	"transformers, safetensors, llama, text-generation, model: vicuna, repo_name: vicuna_channel_3_human_aging_Community, file_name: vicuna_channel_3_human_aging_Community_5000_5.pt, base_model: lmsys/vicuna-7b-v1.5, pruning_style: channel, community: 3, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: Community, modules_size: 38, modules: ['10_mlp.down', '11_attn.k', '13_attn.k', '15_attn.o', '16_attn.k', '16_attn.o', '16_attn.q', '17_attn.k', '17_gate', '18_attn.v', '19_attn.o', '20_mlp.down', '21_attn.k', '21_mlp.up', '22_gate', '22_mlp.down', '23_attn.k', '24_attn.q', '24_mlp.down', '25_attn.k', '25_gate', '26_attn.k', '26_attn.o', '26_gate', '28_attn.k', '28_attn.q', '28_mlp.down', '29_attn.q', '30_attn.k', '30_gate', '30_mlp.down', '30_mlp.up', '4_attn.v', '5_attn.q', '5_mlp.up', '7_attn.v', '8_attn.o', '9_attn.k'], rank: 1, tags: ['model: vicuna', 'repo_name: vicuna_channel_3_human_aging_Community', 'file_name: vicuna_channel_3_human_aging_Community_5000_5.pt', 'base_model: lmsys/vicuna-7b-v1.5', 'pruning_style: channel', 'community: 3', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: Community', 'modules_size: 38', ""modules: ['10_mlp.down', '11_attn.k', '13_attn.k', '15_attn.o', '16_attn.k', '16_attn.o', '16_attn.q', '17_attn.k', '17_gate', '18_attn.v', '19_attn.o', '20_mlp.down', '21_attn.k', '21_mlp.up', '22_gate', '22_mlp.down', '23_attn.k', '24_attn.q', '24_mlp.down', '25_attn.k', '25_gate', '26_attn.k', '26_attn.o', '26_gate', '28_attn.k', '28_attn.q', '28_mlp.down', '29_attn.q', '30_attn.k', '30_gate', '30_mlp.down', '30_mlp.up', '4_attn.v', '5_attn.q', '5_mlp.up', '7_attn.v', '8_attn.o', '9_attn.k']"", 'rank: 1'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/vicuna_channel_3_human_aging_Community	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
liamliang/demographics_race_v2			56	0	transformers, pytorch, safetensors, bert, text-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/liamliang/demographics_race_v2	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
KBhandari11/llama_chat_channel_1_human_aging_All			52	1	"transformers, safetensors, llama, text-generation, model: llama_chat, repo_name: llama_chat_channel_1_human_aging_All, file_name: llama_chat_channel_1_human_aging_All_5000_5.pt, base_model: meta-llama/Llama-2-7b-chat-hf, pruning_style: channel, community: 1, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: All, modules_size: 27, modules: ['10_mlp.down', '11_attn.o', '11_gate', '12_attn.v', '13_attn.k', '13_attn.o', '13_attn.v', '14_mlp.up', '15_mlp.up', '16_mlp.up', '17_attn.o', '20_mlp.down', '21_mlp.up', '22_gate', '24_attn.o', '25_attn.q', '26_attn.o', '30_attn.o', '3_attn.o', '4_attn.o', '5_attn.k', '5_attn.o', '5_attn.q', '6_attn.o', '7_mlp.down', '8_attn.k', '8_mlp.down'], rank: 4, tags: ['model: llama_chat', 'repo_name: llama_chat_channel_1_human_aging_All', 'file_name: llama_chat_channel_1_human_aging_All_5000_5.pt', 'base_model: meta-llama/Llama-2-7b-chat-hf', 'pruning_style: channel', 'community: 1', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: All', 'modules_size: 27', ""modules: ['10_mlp.down', '11_attn.o', '11_gate', '12_attn.v', '13_attn.k', '13_attn.o', '13_attn.v', '14_mlp.up', '15_mlp.up', '16_mlp.up', '17_attn.o', '20_mlp.down', '21_mlp.up', '22_gate', '24_attn.o', '25_attn.q', '26_attn.o', '30_attn.o', '3_attn.o', '4_attn.o', '5_attn.k', '5_attn.o', '5_attn.q', '6_attn.o', '7_mlp.down', '8_attn.k', '8_mlp.down']"", 'rank: 4'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/llama_chat_channel_1_human_aging_All	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
liamliang/demographics_race			45	0	transformers, pytorch, jax, safetensors, bert, text-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/liamliang/demographics_race	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
Kang-Seong-Jun/AgingGPT			40	0	tensorboard, safetensors, vit, image-classification, pytorch, huggingpics, model-index, region:us			image-classification		https://huggingface.co/Kang-Seong-Jun/AgingGPT	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
KBhandari11/llama_chat_channel_1_human_aging_Community			23	1	"transformers, safetensors, llama, text-generation, model: llama_chat, repo_name: llama_chat_channel_1_human_aging_Community, file_name: llama_chat_channel_1_human_aging_Community_5000_5.pt, base_model: meta-llama/Llama-2-7b-chat-hf, pruning_style: channel, community: 1, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: Community, modules_size: 27, modules: ['10_mlp.down', '11_attn.o', '11_gate', '12_attn.v', '13_attn.k', '13_attn.o', '13_attn.v', '14_mlp.up', '15_mlp.up', '16_mlp.up', '17_attn.o', '20_mlp.down', '21_mlp.up', '22_gate', '24_attn.o', '25_attn.q', '26_attn.o', '30_attn.o', '3_attn.o', '4_attn.o', '5_attn.k', '5_attn.o', '5_attn.q', '6_attn.o', '7_mlp.down', '8_attn.k', '8_mlp.down'], rank: 4, tags: ['model: llama_chat', 'repo_name: llama_chat_channel_1_human_aging_Community', 'file_name: llama_chat_channel_1_human_aging_Community_5000_5.pt', 'base_model: meta-llama/Llama-2-7b-chat-hf', 'pruning_style: channel', 'community: 1', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: Community', 'modules_size: 27', ""modules: ['10_mlp.down', '11_attn.o', '11_gate', '12_attn.v', '13_attn.k', '13_attn.o', '13_attn.v', '14_mlp.up', '15_mlp.up', '16_mlp.up', '17_attn.o', '20_mlp.down', '21_mlp.up', '22_gate', '24_attn.o', '25_attn.q', '26_attn.o', '30_attn.o', '3_attn.o', '4_attn.o', '5_attn.k', '5_attn.o', '5_attn.q', '6_attn.o', '7_mlp.down', '8_attn.k', '8_mlp.down']"", 'rank: 4'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/llama_chat_channel_1_human_aging_Community	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
KBhandari11/llama_chat_channel_1_human_aging_Complete_Random			23	1	"transformers, safetensors, llama, text-generation, model: llama_chat, repo_name: llama_chat_channel_1_human_aging_Complete Random, file_name: llama_chat_channel_1_human_aging_Complete Random_5000_5.pt, base_model: meta-llama/Llama-2-7b-chat-hf, pruning_style: channel, community: 1, pruning_ratio: 20, dataset_label: human_aging, sparsity_ratio: 20, dataset: ['tasksource/mmlu', 'human_aging'], finetune: Complete Random, modules_size: 27, modules: ['7_attn.o', '24_gate', '3_attn.k', '13_mlp.down', '24_mlp.down', '23_mlp.down', '19_attn.o', '4_mlp.down', '8_mlp.up', '18_attn.q', '27_mlp.down', '28_attn.k', '15_gate', '29_attn.o', '25_attn.o', '21_attn.k', '9_attn.v', '26_gate', '27_attn.v', '16_attn.o', '8_attn.v', '20_mlp.up', '4_mlp.up', '7_attn.v', '6_attn.q', '22_attn.v', '10_gate'], rank: 4, tags: ['model: llama_chat', 'repo_name: llama_chat_channel_1_human_aging_Complete Random', 'file_name: llama_chat_channel_1_human_aging_Complete Random_5000_5.pt', 'base_model: meta-llama/Llama-2-7b-chat-hf', 'pruning_style: channel', 'community: 1', 'pruning_ratio: 20', 'dataset_label: human_aging', 'sparsity_ratio: 20', ""dataset: ['tasksource/mmlu', 'human_aging']"", 'finetune: Complete Random', 'modules_size: 27', ""modules: ['7_attn.o', '24_gate', '3_attn.k', '13_mlp.down', '24_mlp.down', '23_mlp.down', '19_attn.o', '4_mlp.down', '8_mlp.up', '18_attn.q', '27_mlp.down', '28_attn.k', '15_gate', '29_attn.o', '25_attn.o', '21_attn.k', '9_attn.v', '26_gate', '27_attn.v', '16_attn.o', '8_attn.v', '20_mlp.up', '4_mlp.up', '7_attn.v', '6_attn.q', '22_attn.v', '10_gate']"", 'rank: 4'], arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"		transformers	text-generation		https://huggingface.co/KBhandari11/llama_chat_channel_1_human_aging_Complete_Random	Aging, Demographics, and Memory Study	ADAMS	"""Aging, Demographics, and Memory Study"""
